id,category,app,correct_fields,total_fields,accuracy_before,corrections,verified_evidence_url,verification_status
41,Ecommerce,Shopify,1,9,11.1%,"what_it_does: Unknown -> Commerce platform whose APIs let apps manage store/admin data, storefront experiences, and commerce workflows. | auth_methods: Unknown -> OAuth2, token | self_serve_or_gated: Unknown -> Self-serve | api_surface: Unknown -> GraphQL, REST, Webhooks | api_breadth: Unknown -> Broad | buildability: Unknown -> Yes | main_blocker: Unknown -> Merchant authorization and access scopes; some public-app review/onboarding requirements apply. | evidence_url: Unknown -> https://shopify.dev/docs/api/usage/authentication",https://shopify.dev/docs/api/usage/authentication,Verified
43,Ecommerce,BigCommerce,1,9,11.1%,"what_it_does: Unknown -> Ecommerce platform with APIs for store, catalog, orders, customers, storefront, and related commerce resources. | auth_methods: Unknown -> OAuth2, token | self_serve_or_gated: Unknown -> Self-serve | api_surface: Unknown -> REST, GraphQL, Webhooks | api_breadth: Unknown -> Broad | buildability: Unknown -> Yes | main_blocker: Unknown -> Store/admin authorization and OAuth scopes. | evidence_url: https://www.bing.com/aclick?ld=e8kcI9iLJ_7jwnpigVOC1vfjVUCUw8Jk8X_-rn_pWWali4dYPx3qNLpcypAg6_ftLG-L0bU7DULyQekjFqdqvq2njX2z4Ow6ySigtv67SmsIGZ3Omt6Z2hQ5yDlYhtz3OwwPvCUjuNhfon3BqVnLRsLEUcL4UvNanVddlAKzeKByvdKeVislbvZpeS1wp5qb_JriPOj32-XWsH4Msg13CQfKmx4tc&u=aHR0cHMlM2ElMmYlMmZ3d3cuZ3Jhdml0ZWUuaW8lMmZwbGF0Zm9ybSUyZmFwaS1nYXRld2F5JTNmaHN0a19jcmVhdGl2ZSUzZCUyNmhzdGtfY2FtcGFpZ24lM2Q1NzA4OTM5MTUlMjZoc3RrX25ldHdvcmslM2Rnb29nbGVBZHMlMjZ1dG1faWQlM2Q1NzA4OTM5MTUlMjZoc2FfYWNjJTNkNDAwNjI4NDc5NCUyNmhzYV9jYW0lM2Q1NzA4OTM5MTUlMjZoc2FfZ3JwJTNkMTE4MDg3NzU5NjIyMzAxNiUyNmhzYV9hZCUzZCUyNmhzYV9zcmMlM2RvJTI2aHNhX3RndCUzZGt3ZC03MzgwNTMyMzI5OTgwOSUzYWxvYy05MCUyNmhzYV9rdyUzZGFwaSUyNTIwZ2F0ZXdheSUyNmhzYV9tdCUzZHAlMjZoc2FfbmV0JTNkYWR3b3JkcyUyNmhzYV92ZXIlM2QzJTI2bXNjbGtpZCUzZDU5YmU4OWJmYTYyODEwNWVlNDNmZTMwZjQwN2U4ZTkzJTI2dXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fbWVkaXVtJTNkY3BjJTI2dXRtX2NhbXBhaWduJTNkU00lMjUyMCUyNTdDJTI1MjBNU0ElMjUyMCUyNTdDJTI1MjBBUEFDJTI1MjAlMjU3QyUyNTIwSW5kaWElMjUyMCUyNTI2JTI1MjBVQUUlMjUyMCUyNTdDJTI1MjBBUElNJTI1MjAtUCUyNnV0bV90ZXJtJTNkYXBpJTI1MjBnYXRld2F5JTI2dXRtX2NvbnRlbnQlM2RHYXRld2F5&rlid=59be89bfa628105ee43fe30f407e8e93 -> https://docs.bigcommerce.com/developer/docs/overview/api-fundamentals/api-accounts",https://docs.bigcommerce.com/developer/docs/overview/api-fundamentals/api-accounts,Verified
84,Finance and Fintech,Paygent Connect,,,,Unresolved — insufficient first-party evidence,Unknown,Unresolved
81,Finance and Fintech,Stripe,6,9,66.7%,"what_it_does: Stripe is a payment processing platform that provides a RESTful API for handling online payments, subscriptions, and related financial services. -> Payments and financial-services platform with a broad REST API for payments, billing, customers, payouts, and more. | api_surface: REST -> REST, SDK, Webhooks | main_blocker: None -> Account-specific API keys and permission controls.",https://docs.stripe.com/api/authentication,Verified
31,"Marketing, Ads, Email and Social",Google Ads,1,9,11.1%,"what_it_does: Unknown -> Advertising platform with APIs for campaigns, accounts, targeting, reporting, conversions, and management. | auth_methods: Unknown -> OAuth2, token | self_serve_or_gated: Unknown -> Self-serve | api_surface: Unknown -> REST, SDK | api_breadth: Unknown -> Broad | buildability: Unknown -> Partial | main_blocker: Unknown -> A developer token is required in addition to OAuth2; production access is controlled by developer-token access level. | evidence_url: Unknown -> https://developers.google.com/google-ads/api/rest/auth",https://developers.google.com/google-ads/api/rest/auth,Verified
33,"Marketing, Ads, Email and Social",LinkedIn Ads,1,9,11.1%,"what_it_does: Unknown -> Advertising and marketing APIs for campaigns, creatives, targeting, analytics, and lead-related workflows. | auth_methods: Unknown -> OAuth2 | self_serve_or_gated: Unknown -> Partner/Sales gated | api_surface: Unknown -> REST | api_breadth: Unknown -> Broad | buildability: Unknown -> Partial | main_blocker: Unknown -> Most Marketing API products/permissions require explicit access approval. | evidence_url: Unknown -> https://learn.microsoft.com/en-us/linkedin/marketing/integrations/marketing-integrations-overview",https://learn.microsoft.com/en-us/linkedin/marketing/integrations/marketing-integrations-overview,Verified
73,Productivity and Project Management,Linear,1,9,11.1%,"what_it_does: Linear is a productivity and project management application. -> Project-management and issue-tracking platform with a public GraphQL API and typed SDK. | auth_methods: Unknown -> OAuth2, API key | self_serve_or_gated: Unknown -> Self-serve | api_surface: Unknown -> GraphQL, SDK | api_breadth: Unknown -> Broad | buildability: Unknown -> Yes | main_blocker: Unknown -> None | evidence_url: https://developers.linear.app/docs/password.jsn -> https://linear.app/developers/graphql",https://linear.app/developers/graphql,Verified
78,Productivity and Project Management,Coda,0,9,0.0%,"what_it_does: Unknown -> Collaborative docs platform with REST APIs for docs, pages, tables, rows, sharing, and automation. | auth_methods: Unknown -> OAuth2, API token | self_serve_or_gated: Unknown -> Self-serve | api_surface: Unknown -> REST, SDK | api_breadth: Unknown -> Broad | mcp: Unknown -> Yes | buildability: Unknown -> Yes | main_blocker: Unknown -> MCP is beta and access is scoped to the user's Coda account/workspace. | evidence_url: Unknown -> https://coda.io/developers/apis/v1",https://coda.io/developers/apis/v1,Verified
11,Support and Helpdesk,Zendesk,1,9,11.1%,"what_it_does: Unknown -> Customer-support platform with APIs for ticketing, help center, messaging, voice, and other support operations. | auth_methods: Unknown -> OAuth2, token | self_serve_or_gated: Unknown -> Admin approval | api_surface: Unknown -> REST | api_breadth: Unknown -> Broad | buildability: Unknown -> Partial | main_blocker: Unknown -> Customer/admin authorization is required; distributed apps must use global OAuth. | evidence_url: Unknown -> https://developer.zendesk.com/api-reference/introduction/security-and-auth/",https://developer.zendesk.com/api-reference/introduction/security-and-auth/,Verified
17,Support and Helpdesk,Plain,0,9,0.0%,"what_it_does: Unknown -> Customer-support platform with a GraphQL API and typed SDK for support operations. | auth_methods: Unknown -> API key | self_serve_or_gated: Unknown -> Self-serve | api_surface: Unknown -> GraphQL, SDK | api_breadth: Unknown -> Broad | mcp: Unknown -> Yes | buildability: Unknown -> Yes | main_blocker: Unknown -> API keys are created for machine users with fine-grained permissions; MCP uses the user's existing Plain account. | evidence_url: Unknown -> https://www.plain.com/docs/graphql/authentication",https://www.plain.com/docs/graphql/authentication,Verified
